Time,Text,Prediction,Score,Level,Confidence
23:25:19,why have you not completed your payment yet we have been trying to contact you for days if you don't pay right now strict action will be taken against you give me your card details a immediately,SCAM_CALLS,115,HIGH,95.0
23:27:21,hello this is from a technical support we detected malware activity on your system your data may be at risk please follow my instructions immediately to fix the is,SCAM_CALLS,100,HIGH,100.0
23:58:41,hello this is from a technical support we detected malware activity on your system your data may be at risk please follow my instructions immediately to fix the is,SCAM_CALLS,100,HIGH,100.0
00:04:42,hello i am calling regarding your insurance policy your policy has expired and you may lose all benefits to continue your coverage you need to make an urgent payment please provide your card details to pro,SCAM_CALLS,125,HIGH,87.0
00:07:08,,NORMAL_CALLS,-5,LOW,68.0
11:17:58,hello i am really unhappy with the service my order has not been delivered yet even after the expected date i need an update on this as soon as possible,NORMAL_CALLS,-5,LOW,77.0
11:20:28,oh know your bank account is at risk we detected multiple login attempts from another location if we don't act now your entire balance could be lost please confirm your account details immediately,SCAM_CALLS,140,HIGH,90.0
11:25:43,,NORMAL_CALLS,-5,LOW,79.0
11:25:47,,NORMAL_CALLS,-5,LOW,79.0
11:25:51,,NORMAL_CALLS,-5,LOW,73.0
11:25:56,,NORMAL_CALLS,-5,LOW,70.0
11:26:00,,NORMAL_CALLS,-5,LOW,80.0
11:26:05,,NORMAL_CALLS,-5,LOW,86.0
11:26:48,why have you not completed your payment yet we have been trying to contact you for days if you don't pay right now strict action will be taken against you give me your card details a immediately,SCAM_CALLS,115,HIGH,95.0
11:37:59,hello i am really concerned about your account safety there seems to be some unusual activity i don't want you to lose your money can you please help me verify your details quickly,SCAM_CALLS,95,HIGH,90.0
11:39:03,hello this is from a technical support we detected malware activity on your system your data may be at risk please follow my instructions immediately to fix the is,SCAM_CALLS,100,HIGH,100.0
14:13:21,why have you not completed your payment yet we have been trying to contact you for days if you don't pay right now strict action will be taken against you give me your card details a immediately,SCAM_CALLS,115,HIGH,95.0
14:27:22,hi i am calling from a recruitment agency we have shortlisted you for a high paying job opportunity to proceed with your application you need to pay a registration fee once done we will schedule your interview,SCAM_CALLS,50,MEDIUM,83.0
14:29:03,,NORMAL_CALLS,-5,LOW,76.0
14:29:53,,NORMAL_CALLS,-5,LOW,80.0
14:29:58,,NORMAL_CALLS,-5,LOW,77.0
14:30:03,,NORMAL_CALLS,-5,LOW,76.0
14:30:08,,NORMAL_CALLS,-5,LOW,87.0
14:30:13,,NORMAL_CALLS,-5,LOW,77.0
14:30:17,,NORMAL_CALLS,-5,LOW,76.0
14:30:22,,NORMAL_CALLS,-5,LOW,75.0
14:30:27,,NORMAL_CALLS,-5,LOW,77.0
14:30:31,,NORMAL_CALLS,-5,LOW,55.0
14:30:58,hello this is from a technical support we detected malware activity on your system your data may be at risk please follow my instructions immediately to fix the is,SCAM_CALLS,100,HIGH,100.0
14:36:49,,NORMAL_CALLS,-5,LOW,70.0
14:37:53,,NORMAL_CALLS,-5,LOW,76.0
14:37:57,,NORMAL_CALLS,-5,LOW,77.0
14:38:02,,NORMAL_CALLS,-5,LOW,74.0
14:38:07,,SCAM_CALLS,50,MEDIUM,66.0
14:38:12,,NORMAL_CALLS,-5,LOW,77.0
14:38:16,,NORMAL_CALLS,-5,LOW,76.0
14:38:21,,NORMAL_CALLS,-5,LOW,70.0
14:38:25,,NORMAL_CALLS,-5,LOW,76.0
14:38:30,,NORMAL_CALLS,-5,LOW,76.0
14:38:35,,NORMAL_CALLS,-5,LOW,72.0
14:38:39,,NORMAL_CALLS,-5,LOW,87.0
14:38:44,,NORMAL_CALLS,-5,LOW,75.0
14:38:49,,NORMAL_CALLS,-5,LOW,92.0
14:38:54,,NORMAL_CALLS,-5,LOW,73.0
14:38:58,,NORMAL_CALLS,-5,LOW,69.0
14:39:03,,NORMAL_CALLS,-5,LOW,78.0
14:39:08,,NORMAL_CALLS,-5,LOW,76.0
21:27:40,hello this is from a technical support we detected malware activity on your system your data may be at risk please follow my instructions immediately to fix the is,SCAM_CALLS,100,HIGH,100.0
21:28:12,,NORMAL_CALLS,-5,LOW,74.0
21:28:30,,NORMAL_CALLS,-5,LOW,65.0
21:28:34,,NORMAL_CALLS,-5,LOW,61.0
21:28:39,,NORMAL_CALLS,-5,LOW,65.0
05:07:22,hello i am really concerned about your account safety there seems to be some unusual activity i don't want you to lose your money can you please help me verify your details quickly,SCAM_CALLS,95,HIGH,90.0
05:08:18,,NORMAL_CALLS,-5,LOW,70.0
10:13:34,why have you not completed your payment yet we have been trying to contact you for days if you don't pay right now strict action will be taken against you give me your card details a immediately,SCAM_CALLS,115,HIGH,95.0
10:14:04,,NORMAL_CALLS,-5,LOW,80.0
10:14:19,,NORMAL_CALLS,-5,LOW,83.0
10:14:24,,NORMAL_CALLS,-5,LOW,84.0
10:14:28,,NORMAL_CALLS,-5,LOW,81.0
23:15:42,sir your computer has been hacked i repeat your system is under attack right now all your personal data can be stolen at any moment please act quickly and follow my instructions,SCAM_CALLS,90,HIGH,98.0
23:43:58,why have you not completed your payment yet we have been trying to contact you for days if you don't pay right now strict action will be taken against you give me your card details a immediately,SCAM_CALLS,115,HIGH,95.0
23:48:22,,NORMAL_CALLS,-5,LOW,72.0
23:48:26,,NORMAL_CALLS,-5,LOW,73.0
23:48:31,,NORMAL_CALLS,-5,LOW,73.0
23:48:36,,NORMAL_CALLS,-5,LOW,77.0
23:48:40,,NORMAL_CALLS,-5,LOW,73.0
23:48:45,,NORMAL_CALLS,-5,LOW,72.0
23:48:50,,NORMAL_CALLS,-5,LOW,78.0
23:48:54,,NORMAL_CALLS,-5,LOW,73.0
23:48:58,,NORMAL_CALLS,-5,LOW,73.0
23:49:03,,NORMAL_CALLS,-5,LOW,73.0
23:49:07,,NORMAL_CALLS,-5,LOW,74.0
23:49:11,,NORMAL_CALLS,-5,LOW,73.0
23:49:16,,NORMAL_CALLS,-5,LOW,74.0
23:49:20,,NORMAL_CALLS,-5,LOW,74.0
23:49:25,,NORMAL_CALLS,-5,LOW,73.0
23:49:29,,NORMAL_CALLS,-5,LOW,73.0
23:49:33,,NORMAL_CALLS,-5,LOW,72.0
23:49:38,,NORMAL_CALLS,-5,LOW,73.0
23:49:42,,NORMAL_CALLS,-5,LOW,73.0
23:49:46,,NORMAL_CALLS,-5,LOW,77.0
23:49:51,,NORMAL_CALLS,-5,LOW,73.0
23:49:55,,NORMAL_CALLS,-5,LOW,72.0
23:49:59,,NORMAL_CALLS,-5,LOW,73.0
23:50:04,,NORMAL_CALLS,-5,LOW,77.0
23:50:08,,NORMAL_CALLS,-5,LOW,78.0
23:50:13,,NORMAL_CALLS,-5,LOW,75.0
23:50:17,,NORMAL_CALLS,-5,LOW,78.0
23:50:21,,NORMAL_CALLS,-5,LOW,80.0
23:50:26,,NORMAL_CALLS,-5,LOW,77.0
23:50:30,,NORMAL_CALLS,-5,LOW,73.0
23:50:35,,NORMAL_CALLS,-5,LOW,78.0
23:50:39,,NORMAL_CALLS,-5,LOW,78.0
23:50:43,,NORMAL_CALLS,-5,LOW,74.0
23:50:48,,NORMAL_CALLS,-5,LOW,76.0
23:50:54,,NORMAL_CALLS,-5,LOW,75.0
23:50:58,,NORMAL_CALLS,-5,LOW,75.0
23:51:03,,NORMAL_CALLS,-5,LOW,68.0
23:51:07,,NORMAL_CALLS,-5,LOW,75.0
23:51:11,,NORMAL_CALLS,-5,LOW,68.0
23:51:16,,NORMAL_CALLS,-5,LOW,75.0
23:51:20,,NORMAL_CALLS,-5,LOW,70.0
23:51:25,,NORMAL_CALLS,-5,LOW,70.0
23:51:29,,NORMAL_CALLS,-5,LOW,71.0
23:51:33,,NORMAL_CALLS,-5,LOW,74.0
23:51:38,,NORMAL_CALLS,-5,LOW,79.0
23:51:42,,NORMAL_CALLS,-5,LOW,57.0
23:51:47,,NORMAL_CALLS,-5,LOW,72.0
23:51:51,,NORMAL_CALLS,-5,LOW,72.0
23:51:55,,NORMAL_CALLS,-5,LOW,76.0
23:52:00,,NORMAL_CALLS,-5,LOW,79.0
23:52:04,,NORMAL_CALLS,-5,LOW,79.0
23:52:08,,NORMAL_CALLS,-5,LOW,74.0
23:52:13,,NORMAL_CALLS,-5,LOW,79.0
23:52:18,,NORMAL_CALLS,-5,LOW,79.0
23:52:23,,NORMAL_CALLS,-5,LOW,77.0
23:52:28,,NORMAL_CALLS,-5,LOW,76.0
23:52:32,,NORMAL_CALLS,-5,LOW,74.0
23:52:36,,NORMAL_CALLS,-5,LOW,80.0
23:52:41,,NORMAL_CALLS,-5,LOW,81.0
23:52:45,,NORMAL_CALLS,-5,LOW,78.0
16:11:51,hello i am really concerned about your account safety there seems to be some unusual activity i don't want you to lose your money can you please help me verify your details quickly,SCAM_CALLS,95,HIGH,90.0
16:15:02,,NORMAL_CALLS,-5,LOW,73.0
16:26:11,,NORMAL_CALLS,-5,LOW,73.0
16:26:21,,NORMAL_CALLS,-5,LOW,73.0
16:26:29,,NORMAL_CALLS,-5,LOW,73.0
16:26:38,,NORMAL_CALLS,-5,LOW,73.0
16:26:50,,NORMAL_CALLS,-5,LOW,73.0
16:27:01,,NORMAL_CALLS,-5,LOW,73.0
16:27:17,,NORMAL_CALLS,-5,LOW,73.0
16:28:03,,NORMAL_CALLS,-5,LOW,73.0
16:28:21,hello i am really concerned about your account safety there seems to be some unusual activity i don't want you to lose your money can you please help me verify your details quickly,SCAM_CALLS,95,HIGH,90.0
16:39:30,,NORMAL_CALLS,-5,LOW,73.0
16:39:47,,NORMAL_CALLS,-5,LOW,73.0
